Fundamentos de Informatica,2
Sistemas de Informacion I,1
Pensamiento Critico y Comunicacion,1
Teoria de Sistemas,1
Elementos de Algebra y Geometria,1
Programacion I,2
Sistemas de Representacion,1
Matematica Discreta,1
Fundamentos de Quimica,1
Algebra,1
Programacion II,1
Sistemas de Informacion II,1
Sistemas Operativos,2
Fisica I,1
Calculo I,1
Programacion III,1
Paradigma Orientado a Objetos,1
Fundamentos de Telecomunicaciones,1
Ingenieria de Datos I,1
Calculo II,1
Proceso de Desarrollo de Software,1
Seminario de Integracion Profesional,1
Teleinformatica y Redes,1
Ingenieria de Datos II,1
Probabilidad y Estadistica,1
Examen de Ingles,1
Aplicaciones Interactivas,1
Ingenieria de Software,1
Fisica II,1
Teoria de la Computacion,1
Estadistica Avanzada,1
Desarrollo de Aplicaciones I,1
Direccion de Proyectos Informaticos,1
Ciencia de Datos,1
Seguridad e Integridad de la Informacion,1
Modelado y Simulacion,1
Desarrollo de Aplicaciones II,1
Evaluacion de Proyectos Informaticos,1
Inteligencia Artificial,1
Tecnologia y Medio Ambiente,1
Practica Profesional Supervisada,1
Optativa 1,1
Arquitectura de Aplicaciones,1
Tendencias Tecnologicas,1
Proyecto Final de Ingenieria en Informatica,1
Calidad de Software,1
Optativa 2,1
Negocios Tecnologicos,1
Tecnologia e Innovacion,1
Derecho Informatico,1
Optativa 3,1
